director,title,year,imdbid,imdbrating,imdbvotes,movieid,plot,poster,released,runtime,tmdb
Nicolas Winding Refn,Pusher,1996,0117407,7.4,24710,26947,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,http://ia.media-imdb.com/images/M/MV5BMTcwNjg1ODIzOF5BMl5BanBnXkFtZTcwOTM3MDgzMQ@@._V1_SX300.jpg,1996-08-30,110,2061
Nicolas Winding Refn,Valhalla Rising,2009,0862467,6,41233,77201,"1000 AD, for years, One Eye, a mute warrior of supernatural strength, has been held prisoner by the Norse chieftain Barde. Aided by Are, a boy slave, One Eye slays his captor and together ...",http://ia.media-imdb.com/images/M/MV5BNzA0MDE5OTI3N15BMl5BanBnXkFtZTcwMzk3MjE2Mw@@._V1_SX300.jpg,2010-03-10,93,37861
Mike Flanagan,Hush,2016,5022702,,,156726,A deaf woman is stalked by a psychotic killer in her secluded home.,http://ia.media-imdb.com/images/M/MV5BMjIwOTM0NDk5OF5BMl5BanBnXkFtZTgwMjg0Mjk5NzE@._V1_SX300.jpg,2016-03-12,87,376570
Mike Flanagan,Oculus,2013,2388715,6.5,79343,110591,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.",http://ia.media-imdb.com/images/M/MV5BMzE1NzM4MjEyNV5BMl5BanBnXkFtZTgwMjYzMjMzMTE@._V1_SX300.jpg,2014-04-11,104,157547
Alan J. Pakula,All the President's Men,1976,0074119,8,70476,6787,The Washington Post reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.,http://ia.media-imdb.com/images/M/MV5BODAxMTc4ODcxNF5BMl5BanBnXkFtZTcwNDY0NTAyMQ@@._V1_SX300.jpg,1976-04-09,138,891
Alan J. Pakula,"Devil's Own, The",1997,0118972,6.1,44086,1488,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",http://ia.media-imdb.com/images/M/MV5BMTYzMDA1OTc4OF5BMl5BanBnXkFtZTgwODc2MzkyMTE@._V1_SX300.jpg,1997-03-26,111,4477
Alan J. Pakula,Klute,1971,0067309,7.2,15203,1964,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,http://ia.media-imdb.com/images/M/MV5BMTc3NjI3ODc5M15BMl5BanBnXkFtZTYwMzA1OTA5._V1_SX300.jpg,1971-06-25,114,466
Alan J. Pakula,"Parallax View, The",1974,0071970,7.2,10558,7792,An ambitious reporter gets in way-over-his-head trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the worlds headlines.,http://ia.media-imdb.com/images/M/MV5BMjEyNDMyNzc2N15BMl5BanBnXkFtZTcwMTIxNjUyMQ@@._V1_SX300.jpg,1974-06-14,102,17365
Alan J. Pakula,"Pelican Brief, The",1993,0107798,6.5,57797,2803,"A law student uncovers a conspiracy, putting herself and others in danger.",http://ia.media-imdb.com/images/M/MV5BMTQwNTc1MDEyMF5BMl5BanBnXkFtZTcwMjUzNjMyMQ@@._V1_SX300.jpg,1993-12-17,141,9944
Alan J. Pakula,Presumed Innocent,1990,0100404,6.9,28414,7018,"When the female deputy prosecutor R.K. Sabich had an affair with is murdered, he is chosen to lead the investigation. However, when he digs too deeply, he finds himself framed for the murder.",http://ia.media-imdb.com/images/M/MV5BMjMyODU4NjQwMV5BMl5BanBnXkFtZTgwMTkwNTg4NjE@._V1_SX300.jpg,1990-07-27,127,11092
Alan J. Pakula,Sophie's Choice,1982,0084707,7.7,28294,1096,"After spending time with his new neighbors, an aspiring writer realizes they are harboring deep secrets that will forever change him.",http://ia.media-imdb.com/images/M/MV5BNDIzODc3Mjk5M15BMl5BanBnXkFtZTYwNDc5NDc5._V1_SX300.jpg,1983-03-04,150,15764
Alan J. Pakula,Starting Over,1979,0079948,6.5,1611,26435,"A divorced man falls in love, but somehow he can't get over his ex-wife. This affects his love life in comic ways. Based on Dan Wakefield's novel.",http://ia.media-imdb.com/images/M/MV5BMjEwOTYzNDQ2NV5BMl5BanBnXkFtZTcwMzE3OTgyMQ@@._V1_SX300.jpg,1979-10-05,105,54663
Alan J. Pakula,"Sterile Cuckoo, The",1969,0065037,6.9,1412,54220,Two students from neighboring colleges in upstate New York are swept up in a tragic romantic interlude calling for a maturity of vision beyond their experience of capabilities. Pookie Adams...,http://ia.media-imdb.com/images/M/MV5BMTU3MzY2MTc5NV5BMl5BanBnXkFtZTcwMTA1MTgyMQ@@._V1_SX300.jpg,1969-10-22,107,54494
William Nicholson,Firelight,1997,0119125,7.3,3355,2197,"In 1838, lovely governess Elisabeth agrees to bear a child of anonymous English landowner, and he will in return pay her father's debt. At birth she, as agreed, gives up the child. Seven ...",http://ia.media-imdb.com/images/M/MV5BMTIwOTgxNjY2N15BMl5BanBnXkFtZTYwNzg1NTg5._V1_SX300.jpg,1998-09-04,103,38621
Chad Stahelski,John Wick,2014,2911666,7.2,230206,115149,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,http://ia.media-imdb.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_SX300.jpg,2014-10-24,101,245891
Sabine Bernardi,Romeos,2011,1830792,7.1,2263,142240,A drama centered on the relationship between a young man and a transsexual who is transitioning from female to male.,http://ia.media-imdb.com/images/M/MV5BMjI5ODI3NjIyMl5BMl5BanBnXkFtZTcwMTg2OTY5Ng@@._V1_SX300.jpg,2011-12-08,94,81704
Tennyson Bardwell,Dorian Blues,2004,0398963,6.9,1981,54251,"High school senior Dorian begins a gay man's odyssey when he determines that he's gay and decides to come out. Chief among concerns is the reaction of his father, who has never liked him.",http://ia.media-imdb.com/images/M/MV5BMjA2NzgzNDY3OF5BMl5BanBnXkFtZTcwNzg3MDk5MQ@@._V1_SX300.jpg,2006-09-28,88,32444
Noah Baumbach,Frances Ha,2012,2347569,7.4,41410,102800,"A story that follows a New York woman (who doesn't really have an apartment), apprentices for a dance company (though she's not really a dancer), and throws herself headlong into her dreams, even as their possibility dwindles.",http://ia.media-imdb.com/images/M/MV5BOTY0NDQ2NzQ2N15BMl5BanBnXkFtZTcwMTU0OTkwOQ@@._V1_SX300.jpg,2013-08-23,86,121986
Noah Baumbach,Greenberg,2010,1234654,6.1,28985,74916,"A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant.",http://ia.media-imdb.com/images/M/MV5BMTU4MzY4OTY0NF5BMl5BanBnXkFtZTcwOTc3OTQwMw@@._V1_SX300.jpg,2010-03-26,107,27583
Noah Baumbach,Kicking and Screaming,1995,0113537,7.1,6885,72,"Following graduation, a handful of college students do nothing and talk about it wittily.",http://ia.media-imdb.com/images/M/MV5BMjEzMjkwMzE4Nl5BMl5BanBnXkFtZTcwNzY0NzMzMQ@@._V1_SX300.jpg,1995-10-06,96,28387
Noah Baumbach,Margot at the Wedding,2007,0757361,6.1,15166,56274,"Margot and her son Claude decide to visit her sister Pauline after she announces that she is marrying less-than-impressive Malcolm. In short order, the storm the sisters create leaves behind a mess of thrashed relationships and exposed family secrets.",http://ia.media-imdb.com/images/M/MV5BMTI4MTU2OTk3OF5BMl5BanBnXkFtZTYwMjE2MjY2._V1_SX300.jpg,2007-12-14,91,13998
Noah Baumbach,"Squid and the Whale, The",2005,0367089,7.4,59064,38886,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,http://ia.media-imdb.com/images/M/MV5BMTg1NTE4NTc3NV5BMl5BanBnXkFtZTgwNDA1NDI1MDE@._V1_SX300.jpg,2005-12-16,81,10707
Noah Baumbach,While We're Young,2014,1791682,6.3,27325,130452,A middle-aged couple's career and marriage are overturned when a disarming young couple enters their lives.,http://ia.media-imdb.com/images/M/MV5BMTc4MDEzMTA5MF5BMl5BanBnXkFtZTgwODA5MTM0NDE@._V1_SX300.jpg,2015-04-17,97,252512
Brett Ratner,After the Sunset,2004,0367479,6.3,37622,8968,"The story of what happens after a master thief achieves his last big score, when the FBI agent who promised he'd capture him is about to do just that.",http://ia.media-imdb.com/images/M/MV5BMTU1ODkyNDkwOV5BMl5BanBnXkFtZTcwNzI2MTcyMQ@@._V1_SX300.jpg,2004-11-12,97,10589
Brett Ratner,"Family Man, The",2000,0218967,6.7,84536,4023,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",http://ia.media-imdb.com/images/M/MV5BMTI2Mjc0MDYyOV5BMl5BanBnXkFtZTcwMzA5MDQyMQ@@._V1_SX300.jpg,2000-12-22,125,5994
Brett Ratner,Hercules,2014,1267297,6,110104,112911,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",http://ia.media-imdb.com/images/M/MV5BMTQ4ODA5MTA4OF5BMl5BanBnXkFtZTgwNjMyODM5MTE@._V1_SX300.jpg,2014-07-25,98,184315
Brett Ratner,Money Talks,1997,0119695,6.1,22327,1604,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",http://ia.media-imdb.com/images/M/MV5BMTIzNzU5Mzk1OV5BMl5BanBnXkFtZTcwMjIyMTIyMQ@@._V1_SX300.jpg,1997-08-22,97,9416
Brett Ratner,Red Dragon,2002,0289765,7.2,199537,5630,"A retired FBI agent with psychological gifts is assigned to help track down The Tooth Fairy, a mysterious serial killer; aiding him is imprisoned criminal genius Hannibal The Cannibal Lecter.",http://ia.media-imdb.com/images/M/MV5BMTQ4MDgzNjM5MF5BMl5BanBnXkFtZTYwMjUwMzY2._V1_SX300.jpg,2002-10-04,124,9533
Brett Ratner,Rush Hour,1998,0120812,6.9,180931,2273,Two cops team up to get back a kidnapped daughter.,http://ia.media-imdb.com/images/M/MV5BMjAyMzAyNzY5N15BMl5BanBnXkFtZTcwNjU3MTc0MQ@@._V1_SX300.jpg,1998-09-18,98,2109
Brett Ratner,Rush Hour 2,2001,0266915,6.6,155532,4701,"Carter and Lee head to Hong Kong for vacation, but become embroiled in a counterfeit money scam.",http://ia.media-imdb.com/images/M/MV5BMjExMzc0Nzk2M15BMl5BanBnXkFtZTcwMTQ1MzkxMQ@@._V1_SX300.jpg,2001-08-03,90,5175
Brett Ratner,Rush Hour 3,2007,0293564,6.2,116977,54648,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",http://ia.media-imdb.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1_SX300.jpg,2007-08-10,91,5174
Brett Ratner,Tower Heist,2011,0471042,6.2,107380,90717,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",http://ia.media-imdb.com/images/M/MV5BMTY1NDQxMTcwOV5BMl5BanBnXkFtZTcwNzMzNTExNg@@._V1_SX300.jpg,2011-11-04,104,59108
Brett Ratner,X-Men: The Last Stand,2006,0376994,6.8,366175,45499,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",http://ia.media-imdb.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_SX300.jpg,2006-05-26,104,36668
Sacha Gervasi,Anvil! The Story of Anvil,2008,1157605,8,12774,67665,"Since 1978, Anvil has become one of heavy metal's most influential yet commercially unsuccessful acts. In 2006, after a fledging European tour Anvil sets out to record their thirteenth album and continue to follow their dreams.",http://ia.media-imdb.com/images/M/MV5BMTQ0NjAzMzMxM15BMl5BanBnXkFtZTcwMzEzNzQ0Mg@@._V1_SX300.jpg,2009-02-20,80,18094
Sacha Gervasi,Hitchcock,2012,0975645,6.9,58953,98585,A love story between the influential filmmaker Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959.,http://ia.media-imdb.com/images/M/MV5BODAwNDI5NjIwN15BMl5BanBnXkFtZTcwNjc4ODc2OA@@._V1_SX300.jpg,2012-12-14,98,112336
John Cornell,Crocodile Dundee II,1988,0092493,5.5,43130,2471,Australian outback expert protects his New York love from gangsters who've followed her down under.,http://ia.media-imdb.com/images/M/MV5BMTgxOTg3NTM3OF5BMl5BanBnXkFtZTcwNjgwODgyMQ@@._V1_SX300.jpg,1988-05-25,108,9396
Clive Donner,"What's New, Pussycat",1965,0059903,6.2,7687,7051,A playboy who refuses to give up his hedonistic lifestyle to settle down and marry his true love seeks help from a demented psychoanalyst who is having romantic problems of his own.,http://ia.media-imdb.com/images/M/MV5BMTUzMzI4MDg1OV5BMl5BanBnXkFtZTcwNTQ2Mzg3NA@@._V1_SX300.jpg,1965-06-22,108,3681
Gregor Jordan,Ned Kelly,2003,0277941,6.5,21170,7372,An innocent man becomes one of the most wanted criminals the world has ever known.,http://ia.media-imdb.com/images/M/MV5BMTI2MTYxNTQwMV5BMl5BanBnXkFtZTYwNTI3Mzg5._V1_SX300.jpg,2004-03-26,110,10544
Gregor Jordan,Unthinkable,2010,0914863,7.1,70275,78218,A psychological thriller centered around a black-ops interrogator and an FBI agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.,http://ia.media-imdb.com/images/M/MV5BMTg4MTc3OTI4Nl5BMl5BanBnXkFtZTgwNDQyNjcxMTE@._V1_SX300.jpg,2010-05-26,97,38199
Lee Daniels,Lee Daniels' The Butler,2013,1327773,7.2,84275,104337,"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",http://ia.media-imdb.com/images/M/MV5BMjM2NDY3MjkyMF5BMl5BanBnXkFtZTcwMDM5Nzg5OQ@@._V1_SX300.jpg,2013-08-16,132,132363
Lee Daniels,"Paperboy, The",2012,1496422,5.8,28114,96863,A reporter returns to his Florida home-town to investigate a case involving a death row inmate.,http://ia.media-imdb.com/images/M/MV5BMTcxMzI3OTQ5MF5BMl5BanBnXkFtZTcwMzA0NzcxOA@@._V1_SX300.jpg,2012-10-17,107,82390
Lee Daniels,Precious,2009,0929632,7.4,83828,72395,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",http://ia.media-imdb.com/images/M/MV5BOTEwODQ2NTYwNV5BMl5BanBnXkFtZTcwMTU1Nzg2Mg@@._V1_SX300.jpg,2009-11-20,110,25793
Gore Verbinski,"Lone Ranger, The",2013,1210819,6.5,176053,103384,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",http://ia.media-imdb.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg,2013-07-03,149,57201
Gore Verbinski,"Mexican, The",2001,0236493,6.1,85634,4161,"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",http://ia.media-imdb.com/images/M/MV5BNDE0NzM4ODIwMV5BMl5BanBnXkFtZTcwNTI1MzEyMQ@@._V1_SX300.jpg,2001-03-02,123,6073
Gore Verbinski,Mouse Hunt,1997,0119715,6.4,40507,1713,Two stumblebum inheritors are determined to rid their antique house of a mouse who is equally determined to stay where he is.,http://ia.media-imdb.com/images/M/MV5BMTk1MDExMTA5NF5BMl5BanBnXkFtZTcwOTMzNTIyMQ@@._V1_SX300.jpg,1997-12-19,98,6283
Gore Verbinski,Pirates of the Caribbean: At World's End,2007,0449088,7.1,454759,53125,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle.",http://ia.media-imdb.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,2007-05-25,169,285
Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,2006,0383574,7.3,503870,45722,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",http://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,2006-07-07,151,58
Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,2003,0325980,8.1,777564,6539,"Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",http://ia.media-imdb.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1_SX300.jpg,2003-07-09,143,22
Gore Verbinski,Rango,2011,1192628,7.2,176359,84944,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",http://ia.media-imdb.com/images/M/MV5BMjE5ODg1NTk3OF5BMl5BanBnXkFtZTcwNzA5NTMyNA@@._V1_SX300.jpg,2011-03-04,107,44896
Gore Verbinski,"Ring, The",2002,0298130,7.1,240685,5679,A journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,http://ia.media-imdb.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,2002-10-18,115,565
Gore Verbinski,"Weather Man, The",2005,0384680,6.6,68287,39444,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",http://ia.media-imdb.com/images/M/MV5BMTQ4NzAxMTE3Ml5BMl5BanBnXkFtZTYwMDAwMjY3._V1_SX300.jpg,2005-10-28,102,6963
Jon Hurwitz,American Reunion (American Pie 4),2012,1605630,6.7,167472,93831,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.",http://ia.media-imdb.com/images/M/MV5BMTY4MTEyMzU1N15BMl5BanBnXkFtZTcwNDQ0NTc1Nw@@._V1_SX300.jpg,2012-04-06,113,71552
Jon Hurwitz,Harold & Kumar Escape from Guantanamo Bay,2008,0481536,6.6,111419,59022,Follows the cross-country adventures of the pot-smoking duo as they try to outrun authorities who suspect them of being terrorists when they try to sneak a bong on board their flight to Amsterdam.,http://ia.media-imdb.com/images/M/MV5BMTQ3NTg3OTk0OV5BMl5BanBnXkFtZTcwODAwMzU1MQ@@._V1_SX300.jpg,2008-04-25,104,13335
Peter Sohn,Partly Cloudy,2009,1425244,8.3,13017,72356,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring ...",http://ia.media-imdb.com/images/M/MV5BMTM4OTU0MDAyM15BMl5BanBnXkFtZTgwOTY1MzA2MDE@._V1_SX300.jpg,2009-05-29,6,24480
Peter Sohn,The Good Dinosaur,2015,1979388,6.8,43963,136016,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",http://ia.media-imdb.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,2015-11-25,93,105864
Rupert Goold,True Story,2015,2273657,6.3,31473,127136,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,http://ia.media-imdb.com/images/M/MV5BMTAzNTc5MTA0NzleQTJeQWpwZ15BbWU4MDU1MDM2NzMx._V1_SX300.jpg,2015-04-17,99,245706
Bart Freundlich,"Myth of Fingerprints, The",1997,0119746,6.1,2148,3620,An ambitious debut for writer/director Bart Freundlich charting the unrest with a family who gather together for thanks giving.,http://ia.media-imdb.com/images/M/MV5BMjAxNTUxMDcyMl5BMl5BanBnXkFtZTcwNDExNzcxMQ@@._V1_SX300.jpg,1997-09-17,93,98502
Bart Freundlich,"Rebound, The",2009,1205535,6.4,37870,79590,"In New York City, a single mom captivates her new neighbor, a much younger man.",http://ia.media-imdb.com/images/M/MV5BMTY2MTk1NDkwNV5BMl5BanBnXkFtZTcwNjkwNjI3MQ@@._V1_SX300.jpg,2009-09-16,95,24122
Thomas Jahn,Knockin' on Heaven's Door,1997,0119472,8,19837,32460,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in Tequila and decide to take one last trip to ...",http://ia.media-imdb.com/images/M/MV5BMTk0NDk0MTg1Nl5BMl5BanBnXkFtZTcwODY3MDM4Mg@@._V1_SX300.jpg,1997-02-20,87,158
André De Toth,House of Wax,1953,0045888,7.1,11268,6629,"An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.",http://ia.media-imdb.com/images/M/MV5BNzc4NjAyNzE0OV5BMl5BanBnXkFtZTcwMzg3MDAwMQ@@._V1_SX300.jpg,1953-04-25,88,18573
Chris Delaporte,Kaena: The Prophecy (Kaena: La prophétie),2003,0297753,6.2,3397,8537,"AXIS, a gigantic coiling plant, stretches high above the clouds... At its center is a village whose people are in mortal danger because Axis is withering... it's sap is drying up. The ...",http://ia.media-imdb.com/images/M/MV5BMjA0MTM5NzIxNV5BMl5BanBnXkFtZTcwODc3NzUyMQ@@._V1_SX300.jpg,2003-06-04,85,11572
Edith Becker,Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,0416716,8.4,2463,79006,"An in-depth making of documentary about the original Star Wars trilogy, covering the productions of the three films and their impact on popular culture.",http://ia.media-imdb.com/images/M/MV5BMjEzMjc1NTIzOF5BMl5BanBnXkFtZTcwODE5NDUyMQ@@._V1_SX300.jpg,2004-09-20,151,76180
Anthony Waller,"American Werewolf in Paris, An",1997,0118604,5.1,18841,2793,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.,http://ia.media-imdb.com/images/M/MV5BMTMyMTg2MjI0Ml5BMl5BanBnXkFtZTYwNjc5ODc4._V1_SX300.jpg,1997-12-25,105,9406
Anthony Waller,Mute Witness,1995,0110604,6.8,4254,183,"Billy Hughes, a mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must first escape ...",http://ia.media-imdb.com/images/M/MV5BMTQwMjczODAyOV5BMl5BanBnXkFtZTcwNDA5NjQyMQ@@._V1_SX300.jpg,1995-09-15,95,48787
Sam Wanamaker,Sinbad and the Eye of the Tiger,1977,0076716,6.3,4668,3807,Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.,http://ia.media-imdb.com/images/M/MV5BOTI2MzU4NjM4NV5BMl5BanBnXkFtZTgwNTkwNzYzNTE@._V1_SX300.jpg,1977-07-15,113,11940
Paolo Sorrentino,"Divo, Il",2008,1023490,7.3,10993,66744,"The story of Italian politician Giulio Andreotti, who has served as Prime Minister of Italy seven times since the restoration of democracy in 1946.",http://ia.media-imdb.com/images/M/MV5BMTc1MDc3NTMxMl5BMl5BanBnXkFtZTcwMDgzMzY0Mg@@._V1_SX300.jpg,2008-05-28,110,8832
Paolo Sorrentino,"Great Beauty, The (Grande Bellezza, La)",2013,2358891,7.7,52259,103984,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",http://ia.media-imdb.com/images/M/MV5BMTQ0ODg1OTQ2Nl5BMl5BanBnXkFtZTgwNTc2MDY1MDE@._V1_SX300.jpg,2014-03-14,141,179144
Nobuhiro Yamashita,Linda Linda Linda,2005,0468795,7.6,2352,50583,A music group of girls need to learn to play a song before the school festival.,http://ia.media-imdb.com/images/M/MV5BMTMxMTkyNDM4NF5BMl5BanBnXkFtZTcwOTI3MDg0MQ@@._V1_SX300.jpg,2005-07-23,114,27337
Kevin Reynolds,187 (One Eight Seven),1997,0118531,6.7,17355,1609,"After surviving a brutal attack (Instrument used was a board with nails in it) by a student, teacher Trevor Garfield moves from New York to Los Angeles.",http://ia.media-imdb.com/images/M/MV5BMTgwODg3NDU5NF5BMl5BanBnXkFtZTYwODQ5MDE5._V1_SX300.jpg,1997-07-30,119,6072
Kevin Reynolds,"Beast of War, The (Beast, The)",1988,0094716,7.4,7082,4475,During the war in Afghanistan a Soviet tank crew commanded by a tyrannical officer find themselves lost and in a struggle against a band of Mujahadeen guerrillas in the mountains. A unique ...,http://ia.media-imdb.com/images/M/MV5BMTMyNzYyODM3OV5BMl5BanBnXkFtZTYwNzY2MDc5._V1_SX300.jpg,1988-09-07,111,15267
Kevin Reynolds,Fandango,1985,0089126,6.7,6070,2073,"Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise.",http://ia.media-imdb.com/images/M/MV5BMTUwNTA1MzUxOV5BMl5BanBnXkFtZTcwNDY0NDcyMQ@@._V1_SX300.jpg,1985-01-25,91,20348
Kevin Reynolds,Robin Hood: Prince of Thieves,1991,0102798,6.9,141835,1027,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw.",http://ia.media-imdb.com/images/M/MV5BMTg0OTg5MjExN15BMl5BanBnXkFtZTgwMjg3OTgzMTE@._V1_SX300.jpg,1991-06-14,143,8367
Kevin Reynolds,The Count of Monte Cristo,2002,0245844,7.7,101864,5064,"A young man, falsely imprisoned by his jealous friend, escapes and uses a hidden treasure to exact his revenge.",http://ia.media-imdb.com/images/M/MV5BMTg2MTQwMDk4OF5BMl5BanBnXkFtZTYwNzM4NTA5._V1_SX300.jpg,2002-01-25,131,11362
Kevin Reynolds,Tristan & Isolde,2006,0375154,6.9,44531,42728,An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,http://ia.media-imdb.com/images/M/MV5BMTM2NjQ0Mjg5MF5BMl5BanBnXkFtZTcwMjQ3ODEzMQ@@._V1_SX300.jpg,2006-01-13,125,9044
Kevin Reynolds,Waterworld,1995,0114898,6.1,140036,208,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land.",http://ia.media-imdb.com/images/M/MV5BMTA2Nzk3MTgzMTVeQTJeQWpwZ15BbWU3MDgyNTgxNjk@._V1_SX300.jpg,1995-07-28,135,9804
Bruce McDonald,Hard Core Logo,1996,0116488,7.5,2251,2342,Bruce Macdonald follows punk bank Hard Core Logo on a harrowing last-gasp reunion tour throughout Western Canada. As magnetic lead-singer Joe Dick holds the whole magilla together through ...,http://ia.media-imdb.com/images/M/MV5BMTYwNzMyMzg1N15BMl5BanBnXkFtZTcwMDQ4OTQyMQ@@._V1_SX300.jpg,1996-10-11,92,21589
Bruce McDonald,Pontypool,2008,1226681,6.7,21313,73211,A psychological thriller in which a deadly virus infects a small Ontario town.,http://ia.media-imdb.com/images/M/MV5BMTYyNzUxMzc1MF5BMl5BanBnXkFtZTcwMDE3MDM3Mg@@._V1_SX300.jpg,2009-09-18,93,23963
Bruce McDonald,Roadkill (a.k.a. Roadkill: Move or Die),1989,0098209,7.1,496,8777,"Ramona works in a concert agency and is sent after the rock band 'Children of Paradise' who have disappeared. Since she can't drive, she has to take the train and bus and eventually ...",http://ia.media-imdb.com/images/M/MV5BNDQzNjE2OTA2MV5BMl5BanBnXkFtZTcwMTY2OTUyMQ@@._V1_SX300.jpg,1990-08-09,80,41940
Bruce McDonald,"Tracey Fragments, The",2007,0801526,6.2,6567,60857,"15-year-old Tracey Berkowitz is naked under a shower curtain at the back of a bus, looking for her little brother Sonny, who thinks he's a dog.",http://ia.media-imdb.com/images/M/MV5BMTk5NDMzMzI0M15BMl5BanBnXkFtZTcwODYyMjU1MQ@@._V1_SX300.jpg,2008-03-20,77,16725
